Statement,Link,Date, Source, Label
Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”,https://www.politifact.com/factchecks/2021/jan/09/facebook-posts/facebook-posts-wrongly-claim-left-wing-activist-an/,nuary 8^ 2021,Facebook posts,barely-true
“The DC looting was staged” by antifa,https://www.politifact.com/factchecks/2021/jan/08/jonathan-wichmann/no-capitol-insurrection-was-not-staged-antifa/,nuary 8^ 2021,Jonathan Wichmann,pants-fire
An image shows National Guard at the Capitol during the Black Lives Matter protests in D.C.,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/photo-shows-national-guard-lincoln-memorial-not-ca/,nuary 8^ 2021,Facebook posts,barely-true
"This election actually was not unusually close.",https://www.politifact.com/factchecks/2021/jan/08/mitch-mcconnell/mitch-mcconnell-says-accurately-joe-bidens-win-was/,nuary 8^ 2021,Mitch McConnell,true
32^000 votes for David Perdue “disappeared” during the Georgia Senate runoff election.,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/georgia-runoff-32000-votes-perdue-didnt-disappear/,nuary 8^ 2021,Facebook posts,barely-true
“Last year^ Pennsylvania elected officials passed a whole new law that allows universal mail-in balloting^ and did it irregardless of what the Pennsylvania Constitution said.”,https://www.politifact.com/factchecks/2021/jan/08/josh-hawley/fact-checking-hawleys-claim-about-pennsylvania-mai/,nuary 8^ 2021,Josh Hawley,barely-true
Says activists threatened his family and “screamed threats^ vandalized^ and tried to pound open our door.”,https://www.politifact.com/factchecks/2021/jan/08/josh-hawley/protesters-sen-josh-hawleys-home-were-disruptive-n/,nuary 8^ 2021,Josh Hawley,barely-true
In more than 60 cases^ judges “looked at the allegations that Trump was making and determined they were without any merit.”,https://www.politifact.com/factchecks/2021/jan/08/joe-biden/joe-biden-right-more-60-trumps-election-lawsuits-l/,nuary 8^ 2021,Joe Biden,true
A CNN chyron said^ “Antifa has just taken responsibility for storming Capital Hill.”,https://www.politifact.com/factchecks/2021/jan/08/viral-image/cnn-chyron-said-antifa-has-just-taken-responsibili/,nuary 8^ 2021,Viral image,false
Says Mike Pence was arrested.,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/no-mike-pence-wasnt-arrested/,nuary 8^ 2021,Facebook posts,false
“The FBI just confirmed that it was ANTIFA^ not Trump supporters^ who breached the Capitol.”,https://www.politifact.com/factchecks/2021/jan/08/viral-image/no-fbi-didnt-confirm-antifa-activists-breached-cap/,nuary 8^ 2021,Viral image,pants-fire
The Simpsons predicted the Capitol riots,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/no-simpsons-didnt-predict-capitol-riots-those-imag/,nuary 8^ 2021,Facebook posts,pants-fire
Kamala Harris is planning to use the 25th Amendment against Joe Biden and appoint Mike Pence as her vice president.,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/theres-no-harris-plot-oust-biden-and-appoint-pence/,nuary 8^ 2021,Facebook posts,false
